Date,Week,Month,Channel_1_Views,Channel_1_Interactions,Channel_2_Views,Channel_2_Interactions,Site_Visitors,Term_1,Term_2,Term_3
1/1/15,12/28/14,2015-1,"70,000","2,000","12,800,000","81,000","59,000",54.0,23.0,44.0
1/2/15,1/4/15,2015-1,"110,000","3,000","13,300,000","83,000","61,400",65.0,29.0,55.0
1/3/15,1/11/15,2015-1,"150,000","3,000","11,200,000","80,000","57,900",71.0,25.0,59.0
1/4/15,1/18/15,2015-1,"150,000","3,000","10,800,000","77,000","54,900",73.0,28.0,63.0
1/5/15,1/25/15,2015-1,"130,000","4,000","14,200,000","89,000","60,400",72.0,30.0,66.0
1/6/15,2/1/15,2015-1,"190,000","4,000","15,800,000","84,000","59,300",81.0,100.0,63.0
1/7/15,2/8/15,2015-1,"180,000","4,000","17,000,000","90,000","63,700",76.0,74.0,63.0
1/8/15,2/15/15,2015-1,"160,000","5,000","16,800,000","87,000","61,600",70.0,55.0,65.0
1/9/15,2/22/15,2015-1,"150,000","4,000","11,400,000","50,000","47,200",77.0,83.0,65.0
1/10/15,3/1/15,2015-1,"140,000","3,000","17,300,000","110,000","71,400",76.0,64.0,65.0
1/11/15,3/8/15,2015-1,"150,000","3,000","14,800,000","71,000","55,000",74.0,91.0,67.0
1/12/15,3/15/15,2015-1,"180,000","5,000","15,900,000","99,000","68,500",77.0,91.0,65.0
1/13/15,3/22/15,2015-1,"170,000","6,000","11,100,000","69,000","51,300",82.0,98.0,64.0
1/14/15,3/29/15,2015-1,"170,000","6,000","14,900,000","86,000","59,600",80.0,72.0,62.0
1/15/15,4/5/15,2015-1,"160,000","6,000","16,400,000","100,000","62,200",80.0,64.0,63.0
1/16/15,4/12/15,2015-1,"140,000","5,000","17,700,000","100,000","62,400",82.0,61.0,66.0
1/17/15,4/19/15,2015-1,"110,000","4,000","14,200,000","96,000","58,300",83.0,64.0,66.0
1/18/15,4/26/15,2015-1,"120,000","4,000","16,200,000","100,000","60,900",88.0,63.0,64.0
1/19/15,5/3/15,2015-1,"160,000","5,000","14,200,000","100,000","59,100",82.0,55.0,62.0
1/20/15,5/10/15,2015-1,"180,000","6,000","34,400,000","91,000","63,700",78.0,71.0,66.0
1/21/15,5/17/15,2015-1,"230,000","6,000","41,100,000","87,000","63,600",70.0,56.0,62.0
1/22/15,5/24/15,2015-1,"190,000","6,000","33,200,000","88,000","61,200",61.0,61.0,62.0
1/23/15,5/31/15,2015-1,"160,000","6,000","28,500,000","92,000","61,600",65.0,61.0,60.0
1/24/15,6/7/15,2015-1,"130,000","4,000","21,600,000","86,000","61,100",68.0,56.0,59.0
1/25/15,6/14/15,2015-1,"140,000","4,000","16,900,000","79,000","53,800",65.0,51.0,57.0
1/26/15,6/21/15,2015-1,"180,000","6,000","26,500,000","88,000","60,400",62.0,55.0,54.0
1/27/15,6/28/15,2015-1,"170,000","7,000","28,700,000","90,000","62,300",63.0,52.0,51.0
1/28/15,7/5/15,2015-1,"190,000","7,000","30,600,000","87,000","63,300",65.0,53.0,55.0
1/29/15,7/12/15,2015-1,"180,000","7,000","28,600,000","86,000","62,000",67.0,50.0,58.0
1/30/15,7/19/15,2015-1,"170,000","6,000","54,800,000","110,000","81,500",55.0,40.0,49.0
1/31/15,,2015-1,"140,000","5,000","19,600,000","78,000","55,600",,,
2/1/15,,2015-2,"170,000","4,000","16,100,000","91,000","56,600",,,
2/2/15,,2015-2,"190,000","6,000","17,800,000","97,000","63,400",,,
2/3/15,,2015-2,"340,000","12,000","63,700,000","150,000","96,000",,,
2/4/15,,2015-2,"250,000","12,000","50,000,000","230,000","122,000",,,
2/5/15,,2015-2,"240,000","9,000","131,400,000","450,000","250,000",,,
2/6/15,,2015-2,"230,000","9,000","163,400,000","520,000","254,000",,,
2/7/15,,2015-2,"200,000","6,000","69,600,000","410,000","178,000",,,
2/8/15,,2015-2,"200,000","6,000","81,400,000","440,000","207,000",,,
2/9/15,,2015-2,"250,000","9,000","83,000,000","370,000","191,000",,,
2/10/15,,2015-2,"240,000","9,000","58,100,000","360,000","169,000",,,
2/11/15,,2015-2,"240,000","9,000","50,700,000","310,000","155,000",,,
2/12/15,,2015-2,"240,000","8,000","75,200,000","440,000","188,000",,,
2/13/15,,2015-2,"240,000","9,000","197,000,000","640,000","271,000",,,
2/14/15,,2015-2,"180,000","5,000","60,100,000","460,000","191,000",,,
2/15/15,,2015-2,"200,000","5,000","52,200,000","420,000","178,000",,,
2/16/15,,2015-2,"250,000","8,000","39,200,000","300,000","138,000",,,
2/17/15,,2015-2,"260,000","8,000","66,100,000","440,000","177,000",,,
2/18/15,,2015-2,"240,000","9,000","146,700,000","540,000","241,000",,,
2/19/15,,2015-2,"240,000","8,000","94,300,000","470,000","205,000",,,
2/20/15,,2015-2,"210,000","7,000","73,200,000","440,000","188,000",,,
2/21/15,,2015-2,"180,000","6,000","71,800,000","430,000","178,000",,,
2/22/15,,2015-2,"200,000","6,000","72,400,000","410,000","171,000",,,
2/23/15,,2015-2,"260,000","9,000","63,700,000","410,000","176,000",,,
2/24/15,,2015-2,"260,000","10,000","57,400,000","400,000","192,000",,,
2/25/15,,2015-2,"240,000","8,000","66,700,000","390,000","197,000",,,
2/26/15,,2015-2,"210,000","8,000","116,000,000","390,000","204,000",,,
2/27/15,,2015-2,"190,000","8,000","185,900,000","480,000","276,000",,,
2/28/15,,2015-2,"160,000","5,000","50,000,000","290,000","191,000",,,
3/1/15,,2015-3,"180,000","6,000","56,800,000","340,000","206,000",,,
3/2/15,,2015-3,"220,000","8,000","53,500,000","340,000","222,000",,,
3/3/15,,2015-3,"220,000","8,000","57,700,000","370,000","232,000",,,
3/4/15,,2015-3,"200,000","7,000","53,100,000","340,000","220,000",,,
3/5/15,,2015-3,"200,000","7,000","43,700,000","280,000","179,000",,,
3/6/15,,2015-3,"180,000","6,000","45,600,000","300,000","188,000",,,
3/7/15,,2015-3,"140,000","5,000","58,800,000","410,000","225,000",,,
3/8/15,,2015-3,"150,000","5,000","51,600,000","370,000","212,000",,,
3/9/15,,2015-3,"230,000","12,000","181,100,000","510,000","327,000",,,
3/10/15,,2015-3,"240,000","11,000","51,600,000","310,000","193,000",,,
3/11/15,,2015-3,"210,000","8,000","52,700,000","320,000","188,000",,,
3/12/15,,2015-3,"190,000","8,000","50,300,000","280,000","169,000",,,
3/13/15,,2015-3,"160,000","7,000","64,600,000","320,000","179,000",,,
3/14/15,,2015-3,"130,000","4,000","67,000,000","350,000","191,000",,,
3/15/15,,2015-3,"140,000","5,000","62,000,000","310,000","176,000",,,
3/16/15,,2015-3,"200,000","8,000","132,200,000","300,000","194,000",,,
3/17/15,,2015-3,"190,000","9,000","51,900,000","270,000","164,000",,,
3/18/15,,2015-3,"200,000","9,000","74,200,000","370,000","205,000",,,
3/19/15,,2015-3,"200,000","9,000","121,300,000","430,000","239,000",,,
3/20/15,,2015-3,"170,000","7,000","80,900,000","430,000","220,000",,,
3/21/15,,2015-3,"130,000","5,000","87,200,000","560,000","257,000",,,
3/22/15,,2015-3,"160,000","5,000","108,300,000","630,000","269,000",,,
3/23/15,,2015-3,"300,000","9,000","101,200,000","590,000","305,000",,,
3/24/15,,2015-3,"510,000","11,000","120,600,000","460,000","256,000",,,
3/25/15,,2015-3,"1,270,000","14,000","199,100,000","580,000","307,000",,,
3/26/15,,2015-3,"1,630,000","13,000","95,500,000","490,000","257,000",,,
3/27/15,,2015-3,"2,230,000","14,000","111,500,000","530,000","282,000",,,
3/28/15,,2015-3,"1,990,000","12,000","146,700,000","580,000","288,000",,,
3/29/15,,2015-3,"1,940,000","13,000","130,500,000","540,000","274,000",,,
3/30/15,,2015-3,"3,340,000","19,000","87,600,000","450,000","256,000",,,
3/31/15,,2015-3,"3,310,000","19,000","58,100,000","230,000","154,000",,,
4/1/15,,2015-4,"1,300,000","11,000","29,400,000","170,000","110,000",,,
4/2/15,,2015-4,"190,000","6,000","25,900,000","170,000","96,200",,,
4/3/15,,2015-4,"150,000","5,000","16,800,000","160,000","85,400",,,
4/4/15,,2015-4,"130,000","4,000","17,500,000","170,000","83,900",,,
4/5/15,,2015-4,"130,000","4,000","17,800,000","170,000","78,700",,,
4/6/15,,2015-4,"190,000","6,000","17,200,000","160,000","80,400",,,
4/7/15,,2015-4,"200,000","7,000","19,500,000","190,000","88,100",,,
4/8/15,,2015-4,"210,000","7,000","20,300,000","180,000","87,400",,,
4/9/15,,2015-4,"200,000","7,000","23,100,000","190,000","91,100",,,
4/10/15,,2015-4,"210,000","6,000","20,500,000","180,000","82,700",,,
4/11/15,,2015-4,"170,000","4,000","23,500,000","210,000","91,000",,,
4/12/15,,2015-4,"190,000","5,000","20,900,000","200,000","85,200",,,
4/13/15,,2015-4,"240,000","7,000","19,500,000","160,000","75,100",,,
4/14/15,,2015-4,"220,000","7,000","39,100,000","270,000","118,000",,,
4/15/15,,2015-4,"210,000","7,000","35,700,000","210,000","99,800",,,
4/16/15,,2015-4,"200,000","7,000","42,400,000","200,000","96,200",,,
4/17/15,,2015-4,"170,000","6,000","42,500,000","170,000","93,900",,,
4/18/15,,2015-4,"150,000","4,000","48,300,000","220,000","112,000",,,
4/19/15,,2015-4,"170,000","5,000","57,900,000","260,000","129,000",,,
4/20/15,,2015-4,"200,000","7,000","54,200,000","270,000","134,000",,,
4/21/15,,2015-4,"220,000","7,000","49,000,000","250,000","125,000",,,
4/22/15,,2015-4,"210,000","6,000","47,800,000","240,000","121,000",,,
4/23/15,,2015-4,"220,000","7,000","46,300,000","240,000","119,000",,,
4/24/15,,2015-4,"210,000","7,000","44,700,000","260,000","117,000",,,
4/25/15,,2015-4,"190,000","4,000","48,100,000","260,000","121,000",,,
4/26/15,,2015-4,"200,000","5,000","46,600,000","240,000","111,000",,,
4/27/15,,2015-4,"240,000","7,000","31,300,000","170,000","93,100",,,
4/28/15,,2015-4,"250,000","7,000","21,200,000","100,000","67,000",,,
4/29/15,,2015-4,"250,000","7,000","23,000,000","83,000","61,200",,,
4/30/15,,2015-4,"250,000","7,000","18,800,000","67,000","51,000",,,
5/1/15,,2015-5,"260,000","6,000","58,700,000","170,000","95,900",,,
5/2/15,,2015-5,"190,000","4,000","31,200,000","140,000","74,100",,,
5/3/15,,2015-5,"200,000","4,000","38,400,000","180,000","87,100",,,
5/4/15,,2015-5,"250,000","7,000","35,800,000","180,000","91,500",,,
5/5/15,,2015-5,"250,000","7,000","32,100,000","170,000","78,900",,,
5/6/15,,2015-5,"240,000","6,000","28,100,000","130,000","70,000",,,
5/7/15,,2015-5,"250,000","6,000","31,400,000","140,000","77,400",,,
5/8/15,,2015-5,"220,000","6,000","33,300,000","170,000","85,900",,,
5/9/15,,2015-5,"170,000","4,000","34,500,000","160,000","84,400",,,
5/10/15,,2015-5,"170,000","4,000","36,300,000","170,000","81,700",,,
5/11/15,,2015-5,"240,000","7,000","31,800,000","150,000","79,600",,,
5/12/15,,2015-5,"250,000","8,000","28,800,000","160,000","84,500",,,
5/13/15,,2015-5,"250,000","7,000","39,000,000","180,000","92,400",,,
5/14/15,,2015-5,"250,000","9,000","243,600,000","330,000","183,000",,,
5/15/15,,2015-5,"290,000","6,000","28,500,000","170,000","92,300",,,
5/16/15,,2015-5,"160,000","4,000","29,900,000","180,000","91,100",,,
5/17/15,,2015-5,"180,000","4,000","26,800,000","190,000","89,600",,,
5/18/15,,2015-5,"650,000","9,000","22,800,000","160,000","83,800",,,
5/19/15,,2015-5,"630,000","10,000","65,100,000","190,000","97,300",,,
5/20/15,,2015-5,"2,010,000","15,000","29,800,000","180,000","96,000",,,
5/21/15,,2015-5,"1,330,000","13,000","33,500,000","200,000","103,000",,,
5/22/15,,2015-5,"2,080,000","17,000","36,200,000","220,000","120,000",,,
5/23/15,,2015-5,"1,850,000","16,000","40,200,000","260,000","133,000",,,
5/24/15,,2015-5,"2,000,000","17,000","45,700,000","300,000","151,000",,,
5/25/15,,2015-5,"2,040,000","18,000","47,900,000","320,000","154,000",,,
5/26/15,,2015-5,"2,470,000","24,000","87,100,000","320,000","175,000",,,
5/27/15,,2015-5,"2,340,000","22,000","81,400,000","420,000","227,000",,,
5/28/15,,2015-5,"2,410,000","19,000","49,400,000","310,000","174,000",,,
5/29/15,,2015-5,"2,550,000","18,000","134,500,000","400,000","216,000",,,
5/30/15,,2015-5,"2,230,000","17,000","48,800,000","370,000","201,000",,,
5/31/15,,2015-5,"2,450,000","18,000","48,300,000","320,000","178,000",,,
6/1/15,,2015-6,"2,780,000","22,000","46,800,000","210,000","129,000",,,
6/2/15,,2015-6,"3,120,000","22,000","57,500,000","240,000","133,000",,,
6/3/15,,2015-6,"1,790,000","13,000","101,100,000","280,000","142,000",,,
6/4/15,,2015-6,"1,580,000","12,000","56,500,000","240,000","126,000",,,
6/5/15,,2015-6,"1,610,000","12,000","51,800,000","240,000","124,000",,,
6/6/15,,2015-6,"1,270,000","10,000","57,200,000","270,000","136,000",,,
6/7/15,,2015-6,"1,360,000","11,000","64,900,000","310,000","147,000",,,
6/8/15,,2015-6,"1,470,000","13,000","58,000,000","270,000","142,000",,,
6/9/15,,2015-6,"1,520,000","14,000","44,200,000","240,000","129,000",,,
6/10/15,,2015-6,"1,530,000","15,000","40,900,000","230,000","123,000",,,
6/11/15,,2015-6,"1,080,000","12,000","78,600,000","240,000","126,000",,,
6/12/15,,2015-6,"1,010,000","11,000","50,700,000","300,000","162,000",,,
6/13/15,,2015-6,"1,050,000","11,000","47,100,000","290,000","144,000",,,
6/14/15,,2015-6,"1,170,000","12,000","53,200,000","320,000","151,000",,,
6/15/15,,2015-6,"1,340,000","14,000","43,000,000","270,000","140,000",,,
6/16/15,,2015-6,"1,360,000","13,000","42,900,000","270,000","138,000",,,
6/17/15,,2015-6,"1,420,000","12,000","42,000,000","250,000","130,000",,,
6/18/15,,2015-6,"1,260,000","12,000","43,600,000","250,000","134,000",,,
6/19/15,,2015-6,"1,170,000","11,000","42,000,000","260,000","140,000",,,
6/20/15,,2015-6,"1,290,000","10,000","46,000,000","280,000","146,000",,,
6/21/15,,2015-6,"1,240,000","11,000","47,600,000","300,000","154,000",,,
6/22/15,,2015-6,"1,290,000","12,000","50,300,000","280,000","146,000",,,
6/23/15,,2015-6,"1,380,000","12,000","40,300,000","240,000","134,000",,,
6/24/15,,2015-6,"1,170,000","11,000","41,500,000","230,000","128,000",,,
6/25/15,,2015-6,"1,110,000","11,000","33,800,000","180,000","105,000",,,
6/26/15,,2015-6,"1,020,000","10,000","36,400,000","210,000","115,000",,,
6/27/15,,2015-6,"980,000","10,000","95,000,000","330,000","182,000",,,
6/28/15,,2015-6,"900,000","10,000","95,700,000","330,000","186,000",,,
6/29/15,,2015-6,"1,090,000","13,000","41,500,000","250,000","148,000",,,
6/30/15,,2015-6,"1,110,000","13,000","38,800,000","230,000","130,000",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
